Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
173.16,-100,7.83E-06,,,,,1.05E-05,,,
193.16,-80,7.83E-06,,,,,1.10E-05,,,
213.16,-60,7.82E-06,,,,,1.14E-05,,,
233.16,-40,7.82E-06,,,,,1.18E-05,,,
253.16,-20,7.81E-06,,,,,1.18E-05,,,
273.16,0,7.81E-06,,,,,1.17E-05,0.008717524,248.6809479,
293.16,20,7.80E-06,196670.152,0.272,1000,1103,1.15E-05,0.009173154,267.9558079,
313.16,40,7.80E-06,195645.4022,,,,1.14E-05,0.009625009,287.2306679,
333.16,60,7.79E-06,194597.7761,,,,1.12E-05,0.01007309,306.5055279,
353.16,80,7.78E-06,193527.2736,,,,1.11E-05,0.010517395,325.7803879,
373.16,100,7.78E-06,192433.8947,,,,1.10E-05,0.010957925,345.0552479,
393.16,120,7.77E-06,191317.6394,,,,1.09E-05,0.011394681,364.3301079,
413.16,140,7.77E-06,190178.5078,,,,1.07E-05,0.011827662,383.6049679,
433.16,160,7.77E-06,189016.4998,,,,1.06E-05,0.012256867,402.8798279,
453.16,180,7.76E-06,187831.6154,,,,1.05E-05,0.012682298,422.1546879,
473.16,200,7.76E-06,186623.8547,,,,1.05E-05,0.013103954,441.4295479,
493.16,220,7.75E-06,185393.2176,,,,1.04E-05,0.013521835,460.7044079,
513.16,240,7.75E-06,184139.7041,,,,1.03E-05,0.013935942,479.9792679,
533.16,260,7.74E-06,182863.3143,,,,1.02E-05,0.014346273,499.2541279,
553.16,280,7.74E-06,181564.0481,,,,1.02E-05,0.01475283,518.5289879,
573.16,300,7.73E-06,180241.9055,,,,1.01E-05,0.015155611,537.8038479,
593.16,320,7.73E-06,,,,,1.00E-05,0.015554618,557.0787079,
613.16,340,7.73E-06,,,,,1.00E-05,0.01594985,576.3535679,
633.16,360,7.72E-06,,,,,9.97E-06,0.016341307,595.6284279,
653.16,380,7.72E-06,,,,,9.94E-06,0.016728989,614.9032879,
673.16,400,7.71E-06,,,,,9.92E-06,0.017112896,634.1781479,
693.16,420,7.71E-06,,,,,9.91E-06,0.017493028,653.4530079,
713.16,440,7.70E-06,,,,,9.90E-06,0.017869385,672.7278679,
733.16,460,7.70E-06,,,,,9.90E-06,0.018241968,692.0027279,
753.16,480,7.69E-06,,,,,9.91E-06,0.018610776,711.2775879,
773.16,500,7.69E-06,,,,,9.93E-06,0.018975808,730.5524479,
793.16,520,7.68E-06,,,,,9.95E-06,0.019337066,749.8273079,
813.16,540,7.68E-06,,,,,9.98E-06,0.019694549,769.1021679,
833.16,560,7.67E-06,,,,,1.00E-05,0.020048257,788.3770279,
853.16,580,7.67E-06,,,,,1.01E-05,0.020398191,807.6518879,
873.16,600,7.66E-06,,,,,1.01E-05,0.020744349,826.9267479,
893.16,620,7.66E-06,,,,,1.02E-05,0.021086732,846.2016079,
913.16,640,7.65E-06,,,,,1.02E-05,0.021425341,865.4764679,
933.16,660,7.65E-06,,,,,1.03E-05,0.021760174,884.7513279,
953.16,680,7.64E-06,,,,,1.04E-05,0.022091233,904.0261879,
973.16,700,7.64E-06,,,,,1.05E-05,0.022418517,,
993.16,720,7.63E-06,,,,,1.06E-05,0.022742026,,
1013.16,740,7.62E-06,,,,,1.07E-05,0.02306176,,
1033.16,760,7.62E-06,,,,,1.08E-05,0.02337772,,
1053.16,780,7.61E-06,,,,,1.09E-05,0.023689904,,
1073.16,800,7.60E-06,,,,,1.10E-05,0.023998313,,
1093.16,820,7.59E-06,,,,,1.12E-05,0.024302948,,
1113.16,840,7.59E-06,,,,,1.13E-05,0.024603808,,
1133.16,860,7.58E-06,,,,,1.15E-05,0.024900893,,
1153.16,880,7.57E-06,,,,,1.16E-05,0.025194202,,
1173.16,900,7.56E-06,,,,,1.18E-05,0.025483737,,
1193.16,920,7.55E-06,,,,,1.19E-05,0.025769498,,
1213.16,940,7.54E-06,,,,,1.21E-05,0.026051483,,
1233.16,960,7.54E-06,,,,,1.23E-05,0.026329693,,
1253.16,980,7.53E-06,,,,,1.25E-05,0.026604129,,
1273.16,1000,7.52E-06,,,,,1.27E-05,0.026874789,,
1293.16,1020,7.51E-06,,,,,1.29E-05,0.027141675,,
1313.16,1040,7.50E-06,,,,,1.31E-05,0.027404786,,
1333.16,1060,7.48E-06,,,,,1.33E-05,0.027664122,,
1353.16,1080,7.47E-06,,,,,1.36E-05,0.027919683,,
1373.16,1100,7.46E-06,,,,,1.38E-05,0.028171469,,
1393.16,1120,7.45E-06,,,,,1.40E-05,0.028419481,,
1413.16,1140,7.44E-06,,,,,1.43E-05,0.028663717,,
